angDist,#,rgeo,rpgeo
0.096014,588,2136.93140000,2156.10522000
0.083225,589,4763.17578000,3717.71338000
0.251388,590,5195.09814000,5260.04980000
0.134153,591,3243.94897000,3176.10327000
0.215023,592,6559.25342000,6561.42480000
0.147752,593,4529.04199000,4442.23828000
0.047433,594,2212.26953000,2226.57617000
0.310053,595,2067.54688000,2056.14258000
0.047564,596,2305.27490000,2333.73535000
0.051055,597,2504.49585000,2473.95679000
0.074790,598,7348.26367000,5908.13086000
0.089480,599,2135.17041000,2114.50513000
0.062396,600,2057.66162000,2038.39258000
0.179806,601,2827.56079000,2789.22729000
0.160666,602,8174.88574000,7512.71533000
0.048097,603,7091.76025000,6249.32227000
0.029995,604,3585.74487000,3501.99536000
0.063987,605,5978.06641000,5498.17285000
0.089257,606,2048.43848000,2035.41516000
0.038187,607,6733.53027000,4802.19482000
0.077306,608,8810.18164000,8522.15625000
0.053076,609,5574.62354000,4375.97949000
0.095726,610,6376.09473000,5548.78857000
0.093100,611,5171.19336000,4910.90527000
0.079906,612,8594.17871000,4116.83740000
0.222482,613,2722.53418000,2661.99463000
0.158107,614,3718.09937000,3636.21289000
0.019027,615,5343.05811000,4709.48730000
0.061712,616,2633.12012000,2503.40308000
0.082026,617,5142.35791000,4934.69385000
0.058648,618,5488.45117000,6151.29248000
0.206529,619,6805.07812000,6528.34326000
0.071559,620,5460.37305000,4947.88135000
0.072723,621,5256.75879000,4603.28271000
0.052648,623,3170.73242000,3099.29102000
0.190600,624,2879.31567000,2868.97217000
0.079270,625,4846.27148000,4438.24707000
0.065089,626,5358.00928000,4998.14697000
0.146123,627,5568.02637000,4941.61084000
0.043105,628,2258.77368000,2282.71997000
0.093809,629,2400.35059000,2387.28345000
0.046367,630,2162.75342000,2150.13330000
0.211815,631,5050.41846000,4991.60889000
0.227213,632,2175.99219000,2162.78271000
0.053739,633,4855.43262000,4755.08545000
0.113260,634,6636.29639000,5699.43457000
0.142847,635,4930.83594000,4347.78125000
0.195746,636,2051.45312000,2063.05005000
0.058744,637,2322.24512000,2319.14062000
0.194491,638,4126.29199000,3819.14697000
0.171690,639,2310.89014000,2277.19922000
0.071983,640,5068.01758000,3783.68286000
0.060168,641,4753.52441000,4474.67725000
0.018548,642,5837.64893000,5165.07617000
0.054092,643,2103.11450000,2100.59253000
0.195829,644,2977.32495000,2944.00977000
0.067466,645,6857.65234000,6982.54541000
0.134255,647,2840.32520000,2821.61182000
0.072465,648,3709.19458000,3663.07642000
0.032667,649,6099.55176000,5869.40381000
0.177198,650,3340.30811000,3357.94336000
0.042220,651,1095.46143000,1109.54883000
0.177538,652,4157.71338000,4330.43848000
0.180640,653,5914.73389000,5137.17578000
0.066933,654,4469.96289000,4420.72168000
0.060987,655,2410.69702000,2415.08032000
0.049585,656,5300.43311000,5327.11719000
0.069101,657,652.29370100,650.51623500
0.124415,658,7775.75537000,6439.96777000
0.042797,659,433.78100600,432.03051800
0.218076,660,3478.08618000,3462.45142000
0.187012,661,3748.96606000,3649.58301000
0.086653,662,4355.28613000,3943.82080000
0.265873,663,300.74578900,301.08059700
0.014026,664,929.70208700,897.09973100
0.106172,665,5410.97168000,4842.28467000
0.109229,666,4408.64355000,4279.54932000
0.039306,667,4948.30908000,5051.16064000
0.106701,668,707.78094500,704.60656700
0.039408,669,869.58142100,873.45025600
0.041426,670,1114.13904000,1111.38574000
0.012887,671,1258.08008000,1265.30164000
0.213791,672,853.75671400,849.88195800
0.064092,673,590.18829300,590.28186000
0.297869,674,245.58938600,250.13563500
0.064850,675,608.14538600,607.88128700
0.025969,676,517.52050800,519.04303000
0.027143,677,1178.34155000,1171.82556000
0.055293,678,597.98803700,595.81134000
0.445163,679,174.47079500,173.58520500
0.014478,680,1026.72998000,1019.65350000
0.074066,684,1063.69055000,1064.25842000
0.139072,685,319.67648300,319.64251700
0.217565,686,132.59114100,132.33078000
0.343433,688,5584.23926000,5883.42285000
0.074322,690,777.81274400,773.24334700
0.147216,691,2763.20459000,2755.84082000
0.213367,693,158.38287400,159.05452000
0.168405,697,247.02969400,247.89794900
0.036100,699,650.34478800,648.61590600
0.033703,700,785.65411400,783.36816400
0.050685,701,1567.98828000,1567.40259000
0.116324,702,2377.99829000,2205.48193000
0.032755,703,844.29327400,841.22857700
0.183971,704,117.71907000,117.06694000
0.059020,705,417.69293200,425.82611100
0.307851,706,285.17849700,284.94509900
0.017053,708,1024.57666000,1014.12982000
0.061772,710,394.92123400,393.71466100
0.108592,711,684.84753400,685.22967500
0.059458,712,1044.81860000,1043.28381000
0.158489,714,454.51532000,451.06234700
0.052790,715,931.70733600,928.99072300
0.060356,716,467.10137900,471.74917600
0.002224,718,676.26867700,675.24530000
0.091672,719,879.32135000,884.64050300
0.072887,720,626.85107400,621.87719700
0.067640,721,556.35675000,555.60022000
0.082460,722,728.80383300,744.48449700
0.458094,723,212.16584800,211.98974600
0.101768,724,571.34362800,571.11651600
0.142949,725,940.95904500,947.57910200
0.084667,726,6655.30566000,4779.50928000
0.066182,727,1526.78491000,1506.54224000
0.051076,728,1023.80756000,1024.62720000
0.472963,729,66.98642730,67.23677060
0.428938,731,17868.90820000,14358.84570000
0.066972,735,1414.66370000,1437.99890000
0.041472,738,960.67999300,955.69866900
0.064235,739,963.42102100,980.84051500
0.136035,741,207.03318800,
0.126450,742,2031.16919000,2041.48181000
0.141588,743,299.90701300,301.20712300
0.192326,744,350.81536900,350.82974200
0.100014,745,274.77825900,271.50772100
0.069670,746,1066.07141000,1057.85657000
0.039575,747,1298.57471000,1254.10339000
0.051815,748,1297.79639000,1286.22644000
0.082136,749,2543.31714000,2566.77588000
0.106248,750,1005.10706000,999.61334200
0.132091,751,2997.23999000,2959.20337000
0.101818,752,1060.68188000,1061.01685000
0.221353,753,23319.86130000,
