angDist,#,main_id,main_type,other_types,sp_type
0.350452,1448,WRAY 15-793,HMXB,V* |Be*|N* |HXB|HXB|Em*|HXB|X  |gam|IR |*,O9.5III/Ve
0.048963,1449,HD  98876,Be*,Be*|Em*|** |*  |IR,B5(V)n
0.029044,1450,HD  98927,Be*,V* |*  |Be*|V* |Em*|UV |*  |IR,B2/3(V)e
0.043670,1451,HD  99146,Be*,*  |Be*|Em*|UV |*  |IR,OBe
0.049484,1452,HD  99354,Be*,*  |Be*|Em*|*  |IR,B1IIIne
0.012552,1453,HD  99467,Be*,Be*|Em*|UV |*  |IR,B9II/III
0.026004,1454,HD  99771,Be*,Be*|Em*|*  |IR,B7Vn
0.019533,1456,HD 100199,HMXB,IR |gam|X  |HXB|HXB|Be*|Em*|*  |UV,B0/1(III)n(e)
0.054404,1457,HD 304395,Be*,Be*|Em*|UV |*  |** |IR,B7e
0.033331,1458,HD 100324,Be*,*  |V* |Em*|UV |*  |Be*|IR,B2IIIne
0.036774,1459,* A Cen,Be*,Be*|Em*|UV |IR |*  |PM*,B9V
0.059853,1460,HD 306657,Be*,V* |*  |Em*|*  |Be*|*iC|IR,B2Ve
0.104432,1461,HD 306793,Be*,Be*|*  |Em*|*  |*iC|IR,B3Vn
0.088417,1462,CPD-60  3101,Star,*iC|*,
0.063152,1463,CPD-60  3104,Star,IR |*iC|*,
0.092320,1464,CPD-60  3108,Be*,Be*|*  |*iC|*  |IR,B2Vnep
0.044456,1465,NGC  3766     4,Star,*  |*iC|IR,Be
0.027451,1466,HD 306797,Be*,*  |*  |V* |Em*|Er*|*iC|IR |Be*,B5II
0.044095,1467,CPD-60  3122,Be*,Be*|V* |Em*|Er*|*  |*iC|IR,B3nep_sh
0.019102,1468,HD 306798,Be*,*  |Em*|V* |*  |Be*|*iC|IR,Be
0.084134,1469,CPD-60  3126,Be*,Be*|V* |Em*|Er*|*  |*iC|IR,B1.5Vn
0.054760,1470,CPD-60  3149,Be*,IR |V* |Er*|*  |*iC|Be*,B4Vne
0.056066,1471,CPD-60  3144,Be*,Be*|*  |*iC|IR,Be
0.000000,1472,CPD-60  3166,Star,V* |*iC|*,
0.109535,1473,CPD-60  3165,Be*,Be*|EB*|V* |*iC|*  |IR,Be
0.641856,1474,WRAY 15-841,Em*,*  |Em*|IR,Be
0.033814,1475,HD 101142,Be*,Be*|Em*|UV |*,B5III
0.255770,1476,CPD-62  2167,Be*,Be*|*iC|V* |*  |IR,B3Vne:
0.030544,1477,HD 308820,Star,*iC|*  |IR,A0
0.057342,1478,Cl* IC 2944    THA      12,Star,IR |*  |*iC,B6Vne
0.054913,1479,HD 308829,Be*,X  |EmO|Be*|IR |*iC|*,B8
0.192255,1479,AGAL G294.946-01.735,Radio(sub-mm),smm,
0.037524,1480,LLNS  5790,Star,IR |*iC|*,B0.5Vne
0.814514,1481,BRAN 366,Em*,Ae?|*  |EmO|Em*|RNe|IR |ISM,B5?
0.016115,1482,V* V916 Cen,PulsV*bCep,EB*|bC*|*  |V* |Em*|*  |Be*|UV |*iC|IR,B0.5IVne
0.070560,1483,HD 306962,Be*,*  |Be*|Em*|*  |IR,B1:III:nne
0.444570,1484,HD 306989,Be*,Er*|*  |*  |Em*|V* |UV |Be*|IR,B3
0.535184,1484,HD 306989B,Star,*,
0.570480,1484,HD 306989A,Star,,
0.003928,1485,HD 101915,Be*,** |Be*|Em*|UV |*  |IR,B8Vn
0.029466,1486,HD 102154,Be*,Be*|Em*|*  |IR,B5II/III
