#,epsi,sepsi
738,0.166,10.3
739,1.632,694
740,,
741,0.593,154
742,0.182,14.8
743,0.294,37.9
744,0.116,4.82
745,2.297,2580
746,0,0
747,0,0
748,0.087,2.58
749,0,0
750,0,0
751,0,0
752,0,0
753,0.251,5.44
754,0.172,5.72
755,0.267,6.28
756,,
757,0,0
758,,
759,0,0
760,0.257,14.7
761,,
762,0.129,3.81
763,0.268,28.4
764,0.127,5.39
765,0,0
766,0,0
767,0,0
768,0,0
769,0.151,6.71
770,,
771,2.99,2260
772,1.561,731
773,0,0.386
774,0,0
775,,
776,,
777,,
778,8.264,13.2
779,0.139,2.73
780,0.189,4.85
781,0.232,7.72
782,0.176,3.72
783,0.188,2.81
784,2.024,811
785,,
786,0.317,6.62
787,,
788,0.218,6.36
789,,
790,,
791,0.238,8.55
792,0.258,10.9
793,0.322,5.41
794,0.18,3.94
795,0.428,7.22
796,0.196,5.93
797,0.149,6.39
798,0.672,32.2
799,0.148,1.01
800,0.212,7.71
801,2.999,619
802,0.206,2.4
803,0.203,6.33
804,0,8.20E-16
805,0.285,6.37
806,0,0
807,0.252,4.67
808,0.246,8.49
809,0.77,31.6
810,0.253,4.2
811,0.346,8.42
812,0.07,0.11
813,0.81,21.3
814,,
815,0.19,3.64
816,0.353,6.11
817,0.331,2.34
818,0.291,5.08
819,0.179,3.55
820,0.189,1.97
821,0.185,4.93
822,0.274,2.3
823,0.243,6.36
824,0.314,3.63
825,0.463,3.08
826,0.192,6
827,0.191,2.87
828,0.388,10.6
829,0.254,6.95
830,0.293,5.21
831,0.248,9.46
832,2.239,1200
833,0.696,9.64
834,0,1.39E-15
835,0.601,12.4
836,0,0
837,,
838,0.23,5.81
839,0.121,0.281
840,,
841,,
842,,
843,1.108,217
844,0.369,19.4
845,0,0
846,0.298,10.8
847,0.043,0.1
848,0.269,25
849,,
850,0.307,9.87
851,0.502,82.2
852,0,0
853,0,0
854,0,0
855,0.178,4.55
856,0.099,3.2
857,1.08,418
858,0.833,3.23
859,0.454,53.4
860,0.21,7.04
861,1.018,138
862,0.132,4.6
863,0,0
864,0,0
865,0.127,6.39
866,0.086,2.38
867,3.732,3020
868,0,0
869,0.378,32.7
870,,
871,2.918,21.6
872,,
873,9.263,843
874,1.221,19.7
875,,
876,0,0
877,1.239,4.63
878,,
879,,
880,0.592,4.74
