Results from heasarc_chanmaster: Chandra Observations
Coordinate system:  Equatorial
|obsid|status    |name                |ra         |dec        |time               |detector|grating|exposure|type|pi         |public_date|_Search_Offset|
|20277|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2018-09-15 11:46:25|ACIS-S  |HETG   |   35090|GO  |Burrows    | 2019-09-17|            19.330 (84.56791666666669,-69.0658)|
|10926|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2009-09-08 09:44:51|ACIS-S  |HETG   |   35090|GO  |Burrows    | 2010-09-09|            19.330 (84.56791666666669,-69.0658)|
| 7620|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2007-09-09 14:44:08|ACIS-S  |LETG   |   35070|GO  |McCray     | 2008-09-17|            19.330 (84.56791666666669,-69.0658)|
|21038|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2018-03-18 23:47:07|ACIS-S  |HETG   |   35040|GO  |Park       | 2019-04-02|            19.330 (84.56791666666669,-69.0658)|
|16448|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-02-14 11:53:01|ACIS-I  |NONE   |   35040|GO  |Townsley   | 2015-02-15|             3.137 (84.56791666666669,-69.0658)|
| 9580|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2007-09-07 06:20:15|ACIS-S  |LETG   |   35040|GO  |McCray     | 2008-09-17|            19.330 (84.56791666666669,-69.0658)|
|16616|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-06-03 22:25:11|ACIS-I  |NONE   |   34970|GO  |Townsley   | 2014-06-04|             3.137 (84.56791666666669,-69.0658)|
|16443|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-11-14 23:13:24|ACIS-I  |NONE   |   34970|GO  |Townsley   | 2014-11-17|             3.137 (84.56791666666669,-69.0658)|
|17545|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-10-28 04:13:50|ACIS-I  |NONE   |   34970|GO  |Townsley   | 2014-10-30|             3.137 (84.56791666666669,-69.0658)|
|17642|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-06-08 05:10:07|ACIS-I  |NONE   |   34880|GO  |Townsley   | 2015-06-09|             3.137 (84.56791666666669,-69.0658)|
|11826|archived  |SN 1987A            |05 35 28.00|-69 16 11.2|2010-08-18 03:38:40|HRC-I   |NONE   |   34100|GTO |Murray     | 2011-08-19|            19.331 (84.56791666666669,-69.0658)|
|17486|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-12-04 13:38:43|ACIS-I  |NONE   |   33970|GO  |Townsley   | 2014-12-08|             3.137 (84.56791666666669,-69.0658)|
| 9085|archived  |SN 1987A            |05 35 28.00|-69 16 11.0|2008-04-29 08:03:53|HRC-I   |NONE   |   33790|GTO |Murray     | 2009-04-30|            19.328 (84.56791666666669,-69.0658)|
| 8488|archived  |Sn 1987A            |05 35 28.00|-69 16 11.0|2007-03-29 17:08:57|ACIS-S  |HETG   |   32180|GTO |Canizares  | 2008-04-18|            19.328 (84.56791666666669,-69.0658)|
|16194|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-05-12 19:59:17|ACIS-I  |NONE   |   31730|GO  |Townsley   | 2014-05-13|             3.137 (84.56791666666669,-69.0658)|
|21049|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2018-03-28 15:09:21|ACIS-S  |HETG   |   31640|GO  |Park       | 2019-04-02|            19.330 (84.56791666666669,-69.0658)|
|20036|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2017-03-13 23:07:30|HRC-S   |LETG   |   31160|GO  |Burrows    | 2018-03-17|            19.330 (84.56791666666669,-69.0658)|
| 8543|archived  |Sn 1987A            |05 35 28.00|-69 16 11.0|2007-03-27 00:45:29|ACIS-S  |HETG   |   31160|GTO |Canizares  | 2008-04-18|            19.328 (84.56791666666669,-69.0658)|
