#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS
913,[O96] D301NE-10,Classical,05 43 51.06,-67 49 57.11,15.8,B2.2Ve,,0
914,AX J0544.1-7100,Classical,05 44 05.18,-71 00 50.62,15.235,Be,,0
915,[BM83] X0544-665,Classical,05 44 15.50,-66 33 50.04,15.4,B1Ve,,0
916,[MLD95] LMC 2-107,Classical,05 44 25.70,-68 05 20.04,15.03,Be,,0
917,HD 246878,Classical,05 44 27.72,27 13 47.66,9.37,B0.5Vpe,,2
918,HD 38191,Classical,05 44 56.24,21 27 38.47,8.6,B1Vne,,7
919,HD 247525,Classical,05 47 23.91,26 23 46.51,10.79,B5e,,2
920,HD 38856,Classical,05 48 45.97,00 43 32.04,7.25,B5Ve,179,106
921,V438 Aur,Classical,05 48 53.65,29 08 10.02,8.05,B3pshe,,13
922,HD 39018,Classical,05 50 32.28,18 01 34.90,7.72,B9e,190,55
923,HD 248390,Classical,05 51 44.98,26 25 39.45,9.93,B5e,,2
924,V593 Tau,Classical,05 53 06.09,26 26 43.46,8.13,B3Ve,,37
925,HD 39557,Classical,05 53 27.14,00 46 45.16,9.07,B5IIIe,,2
926,V1167 Tau,Classical,05 53 31.10,25 44 32.07,8.48,B1Vnne,,6
927,HD 39478,Classical,05 53 59.85,26 25 21.11,8.25,B2Ve,,25
928,HD 249179,Classical,05 55 55.05,28 47 06.38,10,B5ne,,2
929,HD 40193,Classical,05 56 22.48,-22 39 00.07,9.19,B8Vne,,1
930,HD 249695,Classical,05 58 35.32,30 12 25.89,9.16,B1Vnnpe,,2
931,HD 250028,Classical,05 59 53.55,25 05 19.03,9.14,B2Vnnpe,,2
932,HD 250163,Classical,06 00 11.61,19 11 33.62,9.77,B1.5Vnpe,,2
933,HD 250289,Classical,06 01 05.87,23 20 20.39,8.23,B2IIIe,,8
934,HD 250980,Classical,06 03 34.24,09 39 54.66,9.56,B0e,,2
935,HD 250854,Classical,06 03 34.97,22 19 38.50,11.6,B5e,,0
936,V696 Mon,Classical,06 04 13.50,-06 42 32.18,5.251,B2Vne,358,220
937,[KW97] 26-56,Classical,06 04 21.79,28 38 39.84,11.51,Be,,1
938,V447 Aur,Classical,06 04 38.41,46 35 06.40,7.29,B3Ve,,83
939,HBHA 2215-15,Classical,06 05 08.50,24 11 21.84,11.7,Be,,0
940,[KW97] 27-6,Classical,06 05 60.00,28 02 52.80,,Be,,0
941,HD 251726,Classical,06 06 54.37,19 02 04.06,9.34,B1Ve,,2
942,HD 42054,Classical,06 07 03.67,-34 18 43.28,5.843,B4IVe,,7
943,HD 42406,Classical,06 10 36.74,03 52 18.19,7.99,B4IVe,300,31
944,HD 42477,Classical,06 11 27.91,13 38 18.82,6.042,A0Vnne,,47
945,HD 253084,Classical,06 11 33.36,14 14 19.97,9.21,B5e,,2
946,69 Ori,Classical,06 12 03.28,16 07 49.46,4.947,B5Vne,285,716
947,HD 253215,Classical,06 12 13.87,20 00 03.39,10.76,Be,,2
948,HD 253214,Classical,06 12 16.60,20 05 09.73,9.54,B1.5Vnne,,3
949,HD 42529,Classical,06 12 39.85,32 58 21.54,8.23,B9e,250,8
950,HD 43122,Classical,06 12 49.90,-37 04 53.28,8.18,B1Ve,265,4
951,HD 253339,Classical,06 13 01.99,24 02 34.65,10.41,Be,,1
952,V1390 Ori,Classical,06 13 42.18,08 42 44.60,8.1,B2Ve,,30
953,HD 253659,Classical,06 13 54.17,16 31 05.05,9.16,B0.5Vnne,,2
954,HD 43264,Classical,06 15 35.70,07 39 08.16,7.51,B9IIIe,288,119
955,HD 43285,Classical,06 15 40.18,06 03 58.20,6.05,B5IVe,260,209
956,HD 43789,Classical,06 15 56.56,-44 37 10.68,8.55,B6.5Ve,255,3
957,HD 43544,Classical,06 16 07.69,-16 37 04.82,5.959,B2.5Ve,260,103
958,HD 254647,Classical,06 17 34.61,11 11 27.31,10.01,Bpe,,1
959,HD 43703,Classical,06 18 39.44,23 00 28.55,8.65,B1IVpe,,5
960,EM* MWC 800,Classical,06 18 53.04,21 19 04.80,11.13,Be,,1
961,HD 43913,Classical,06 18 58.46,04 11 28.73,7.86,Be,,52
962,V963 Ori,Classical,06 19 16.88,20 34 47.76,8.49,B2IIpe,,7
963,HD 44506,Classical,06 20 36.24,-34 08 38.92,5.525,B1.5Ve,220,7
964,FR CMa,Classical,06 21 24.72,-11 46 23.66,5.585,B1Vpe,242,129
965,HD 44637,Classical,06 23 24.68,15 06 06.43,8,B2Vpe,,7
966,HD 256577,Classical,06 24 00.18,08 18 02.49,9.77,B2IVpe,,31
967,HD 44783,Classical,06 24 02.28,08 53 06.04,6.24,B9IIIe,226,220
968,PY Gem,Classical,06 24 03.89,25 25 01.21,8.46,B1Vne,,8
969,HD 44996,Classical,06 24 20.58,-12 57 42.98,6.12,B6.5Ve,38,123
970,BD-21 1449,Classical,06 25 16.94,-21 20 04.33,10.49,Be,,1
971,HD 45260,Classical,06 26 06.35,-09 23 50.63,9.05,B8e,,2
972,PZ Gem,Classical,06 27 15.78,14 53 21.22,6.64,O9pe,,782
973,AG Aur,Classical,06 27 33.70,47 01 51.96,9.79,OIIIpe,,2
974,HD 257473,Classical,06 27 36.15,18 15 47.69,9.57,B5e,,2
975,FS CMa,Classical,06 28 17.42,-13 03 11.14,8.05,Bpshe,,378
976,HD 45626,Classical,06 28 22.58,-04 27 43.72,9.25,B7pshe,,1
977,IY CMa,Classical,06 28 39.24,-32 22 16.60,5.74,B3Ve,275,4
978,bet Mon A,Classical,06 28 49.07,-07 01 59.02,4.62,B3Ve,330,146
979,nu Gem,Classical,06 28 57.79,20 12 43.69,4.14,B6IIIe,160,660
980,V725 Mon,Classical,06 30 17.63,02 50 52.42,8.87,B0.5IVe,164,25
981,AX Mon,Classical,06 30 32.94,05 52 01.20,6.74,B2IIIpshev,,305
982,HD 46131,Classical,06 30 38.52,-22 19 18.52,7.15,B4Ve,275,3
983,HD 45995,Classical,06 31 09.56,11 15 04.96,6.14,B2Vnne,255,91
984,HD 258782,Classical,06 31 09.62,11 15 21.07,9.09,B9IVe,,2
985,Cl* NGC 2244 PS 26,Classical,06 31 29.75,04 54 49.45,11.41,B7Ve,,0
986,mu Pic,Classical,06 31 58.31,-58 45 13.81,5.707,B9Ve,,5
987,Cl* NGC 2244 JOHN 33,Classical,06 32 15.48,04 55 20.21,12.006,B6Vne,,0
988,Cl* NGC 2244 PS 543,Classical,06 32 41.76,04 53 38.11,12.806,B8Ve,,0
989,V728 Mon,Classical,06 32 43.23,-07 30 32.29,8.05,B1.5IVe,300,72
990,HD 259440,Classical,06 32 59.25,05 48 01.18,9.12,B0pe,,3
991,QQ Gem,Classical,06 33 05.59,16 56 55.53,7.64,Be,,137
992,HD 259597,Classical,06 33 32.23,08 20 08.08,8.59,B0.5Vnne,,4
993,EM* GGA 399,Classical,06 33 37.44,04 48 46.01,12.46,B3Ve,,0
994,HD 259631,Classical,06 33 43.42,08 02 10.00,9.61,B5e,,17
995,HD 46484,Classical,06 33 54.41,04 39 44.61,7.65,B0.5IVe,120,104
996,HD 47054,Classical,06 36 35.33,-05 12 40.11,5.57,B7IIIe,219,189
997,HD 47202,Classical,06 36 51.93,-12 51 04.89,9.16,B6Vne,,1
998,HD 47160,Classical,06 37 05.74,-02 10 44.53,7.11,B8IVe,149,69
999,HD 47359,Classical,06 38 24.90,04 52 51.34,8.87,B0IVe,443,10
1000,V733 Mon,Classical,06 40 01.58,-04 41 55.35,8.72,B2Vpe,,4
1001,15 Mon,Classical,06 40 58.66,09 53 44.72,4.64,B1Ve,70,1866
1002,V737 Mon,Classical,06 42 12.94,-10 29 53.08,8.78,B3Ve,188,2
1003,10 CMa,Classical,06 44 28.47,-31 04 13.89,5.222,B2IIIe,205,11
1004,HP CMa,Classical,06 45 31.19,-30 56 56.33,5.8,B2IIIe,,2
1005,HD 49319,Classical,06 46 03.22,-39 32 24.92,6.625,B2.5IVne,245,4
1006,V339 Pup,Classical,06 46 12.15,-37 46 31.17,6.193,B6Vne,220,2
1007,V739 Mon,Classical,06 47 57.27,00 46 34.02,8.95,B0.5IVe,270,120
1008,V715 Mon,Classical,06 49 03.66,01 00 07.43,6.15,B3IIIe,85,153
1009,HD 49585,Classical,06 49 08.26,00 05 22.07,9.13,B0.5IVe,310,4
1010,KS CMa,Classical,06 49 15.87,-12 40 04.52,7.26,B5ne,,26
1011,kap CMa,Classical,06 49 50.46,-32 30 30.52,3.515,B1.5Ve,243,14
1012,HD 49787,Classical,06 49 55.52,-05 30 47.50,7.54,B1Ve,160,68
1013,HD 49888,Classical,06 50 08.09,-12 35 05.12,7.23,B3e,260,27
1014,HZ CMa,Classical,06 50 23.35,-31 42 21.81,5.743,B6Vnpe,220,33
1015,KU CMa,Classical,06 50 26.47,-14 06 48.11,7.99,B1.5Vnpe,,28
1016,V743 Mon,Classical,06 51 33.40,-06 57 59.45,6.583,B7IIIe,60,3348
1017,V742 Mon,Classical or Herbig,06 51 45.75,05 05 03.86,6.92,B2IIIe,181,148
1018,HD 50209,Classical,06 52 10.36,-00 17 43.94,8.36,B8IVe,200,119
1019,HD 50424,Classical,06 52 53.05,-10 00 26.94,8.9,B9e,,3
1020,KZ CMa,Classical,06 53 52.17,-13 11 09.10,8.68,B2Vnne,230,50
1021,HD 50850,Classical,06 54 09.20,-18 17 10.46,9.22,B3Vnne,310,1
1022,HD 50581,Classical,06 54 13.84,06 41 16.76,7.52,A0IVe,240,199
1023,HD 50696,Classical,06 54 22.15,00 10 54.64,8.87,B1.5IIIe,350,71
1024,LL CMa,Classical,06 54 35.91,-17 55 01.89,7.63,B3Ve,,25
1025,HD 50820,Classical,06 54 42.04,-01 45 23.36,6.27,B3IVe,,226
1026,HD 50891,Classical,06 54 58.82,-03 42 01.29,8.88,B0.5Ve,220,4
1027,V744 Mon,Classical,06 55 13.65,05 26 02.44,7.85,B1.5Ve,267,137
1028,V746 Mon,Classical,06 56 19.09,-03 48 25.51,8.06,B1.5IVe,215,64
1029,HD 50658,Classical,06 56 32.06,46 16 26.39,5.841,B8IIIe,235,222
1030,HD 51404,Classical,06 57 01.43,-06 13 05.64,9.41,B1.5Ve,335,3
1031,HD 266894,Classical,06 57 01.99,09 16 13.44,10.66,Be,,2
1032,V644 Mon,Classical,06 57 09.38,-10 49 28.07,6.89,Ape,,36
1033,HD 51452,Classical,06 57 20.62,-04 11 37.40,8.08,B0IVe,298,33
1034,QY Gem,Classical,06 57 42.90,17 54 07.24,7.15,B3ne,,845
1035,HD 51506,Classical,06 57 55.99,06 32 56.93,7.69,B2.5IVe,172,249
1036,RX J065817.7-071228,Classical,06 58 17.71,-07 12 28.08,10.9,Be,,0
1037,OY Gem,Classical,06 58 30.31,16 19 24.96,11.2,Bpe,,4
1038,HD 52159,Classical,06 59 42.64,-11 09 26.61,9.63,B3Vne,110,1
1039,LQ CMa,Classical,06 59 44.55,-28 23 58.99,7.206,B4Vne,420,3
1040,LP CMa,Classical,06 59 46.46,-16 12 02.74,9.19,B2IVnpe,210,3
1041,HD 53048,Classical,07 00 10.39,-56 54 25.22,7.92,B6Vne,,5
1042,FU CMa,Classical,07 00 19.36,-22 07 08.62,6.513,B3Vnne,190,26
1043,HD 52812,Classical,07 01 33.61,-27 13 22.60,6.935,B3Ve,,1
1044,GU CMa,Classical or Herbig,07 01 49.51,-11 18 03.32,6.58,B1.5Ve,352,333
1045,BD-06 1895,Classical,07 02 13.67,-06 18 08.76,9.93,Be,,1
1046,19 Mon,Classical,07 02 54.78,-04 14 21.24,4.99,B1Ve,270,2983
1047,HD 53032,Classical,07 03 23.63,-02 44 38.57,9.36,A2e,,2
1048,V749 Mon,Classical,07 03 37.18,-02 28 27.02,7.2,B4IVe,203,47
1049,HD 53416,Classical,07 05 34.68,14 28 23.20,7.05,B8e,,82
1050,HD 53667,Classical,07 05 35.22,-08 43 43.97,7.76,B0IIIe,110,63
1051,HD 54086,Classical,07 06 52.31,-14 41 54.34,9.19,B5IIIe,,1
1052,BD-13 1825,Classical,07 06 58.23,-13 40 35.19,9.46,Be,,0
1053,FV CMa,Classical,07 07 22.59,-23 50 26.59,5.71,B2Vnne,195,32
1054,HD 54464,Classical,07 08 47.99,-04 03 26.84,8.4,B2.5IIIe,162,39
1055,V647 Mon,Classical,07 08 58.76,-01 00 56.91,9.33,B1Vne,,28
1056,LY CMa,Classical,07 09 36.98,-16 05 46.82,9.01,B1.5IIe,,3
1057,HD 54858,Classical,07 10 11.35,-09 20 10.71,8.19,A0IIe,,2
1058,HD 55014,Classical,07 10 46.12,-11 34 26.63,7.77,B7Vne,,3
1059,BD-14 1751,Classical,07 10 54.46,-14 21 26.20,9.81,Be,,0
1060,HD 55135,Classical,07 11 20.85,-10 25 43.78,7.32,B2.5Ve,244,65
1061,HD 55271,Classical,07 11 20.93,-21 48 11.84,6.92,B5Ve,,27
1062,HD 55566,Classical,07 12 15.55,-27 51 47.85,8.92,B6Vne,,0
1063,HD 55439,Classical,07 12 34.81,-09 50 42.10,8.59,B2Ve,,21
1064,HI CMa,Classical,07 12 45.48,-15 30 06.44,7.83,B2Vne,,3
1065,HD 55606,Classical,07 13 34.10,-02 04 39.11,9.04,B0.5Ve,350,68
1066,27 CMa,Classical,07 14 15.21,-26 21 09.03,4.65,B3IIIe,280,27
1067,HD 55806,Classical,07 14 38.46,02 54 06.92,9.15,B7IIIe,202,38
1068,ome CMa,Classical,07 14 48.65,-26 46 21.61,4.028,B2IVe,85,85
1069,HD 56039,Classical,07 14 59.91,-11 52 13.47,8.28,B5Ve,,2
1070,HD 56600,Classical,07 17 03.41,-16 36 28.13,9.85,B7.5Vnne,,1
1071,BD-20 1834,Classical,07 17 28.47,-21 04 00.09,9.88,Be,,0
1072,HD 56670,Classical,07 17 36.40,-09 24 51.93,9.66,B0.5Ve,,0
1073,HD 56806,Classical,07 17 47.03,-18 48 59.22,9.41,B4Vne,,0
1074,MU CMa,Classical,07 18 09.64,-15 37 41.98,8.96,B5IIe,,3
1075,NV Pup,Classical,07 18 18.39,-36 44 02.23,4.7,B2Ve,220,6
1076,NW Pup,Classical,07 18 38.19,-36 44 33.85,5.088,B2IVne,80,2
1077,HD 57551,Classical,07 19 59.38,-40 29 41.60,9.87,B8IIIe,,2
1078,HD 57393,Classical,07 20 05.89,-24 05 07.86,9.13,B3Vnne,,0
1079,HD 57386,Classical,07 20 42.98,-08 25 15.70,8,B1.5Vnnpe,,5
1080,HD 57682,Classical,07 22 02.05,-08 58 45.77,6.403,O9Ve,,689
1081,HD 57775,Classical,07 22 24.83,-10 49 21.45,9.36,Be,,1
1082,HD 57910,Classical,07 22 28.52,-23 01 32.16,9.47,B5Ve,,0
1083,BD-20 1891,Classical,07 22 36.26,-20 54 34.73,9.2,Be,,0
1084,NN CMa,Classical,07 22 43.32,-26 00 40.84,7.18,B1.5IInne,,21
1085,BD-17 1944,Classical,07 22 58.74,-17 57 00.33,10.6,Be,,0
1086,NO CMa,Classical,07 23 00.70,-31 55 25.61,5.43,B5IIIne,,21
1087,HD 58127,Classical,07 23 37.74,-14 06 00.62,7.58,B6e,240,24
1088,OT Gem,Classical,07 24 27.65,15 31 01.91,6.448,B2Ve,130,1776
1089,FW CMa,Classical,07 24 40.19,-16 12 05.30,5.2,B2Vne,43,74
1090,BD-19 1871,Classical,07 24 57.49,-20 06 58.50,10.04,Be,,0
1091,HD 59197,Classical,07 26 59.45,-41 37 44.73,8.1,B6Ve,,2
1092,FY CMa,Classical,07 26 59.48,-23 05 09.68,5.56,B1IIe,375,2734
1093,bet CMi,Classical,07 27 09.04,08 17 21.54,2.886,B8Ve,230,851
1094,RY Gem,Classical,07 27 24.17,15 39 34.70,8.68,A2Ve,,151
1095,V370 Pup,Classical,07 27 51.00,-16 05 37.97,8.48,B2Vne,,28
1096,HD 59281,Classical,07 28 12.33,-27 23 58.81,8.42,B4Vne,,0
1097,BD-13 2040,Classical,07 29 07.22,-13 46 11.62,8.72,B3e,,2
1098,HD 59498,Classical,07 29 22.78,-21 52 09.18,7.79,B5IVe,,1
1099,V373 Pup,Classical,07 29 27.97,-21 51 31.03,7.73,B2Vne,,1
1100,EM* MWC 844,Classical,07 29 30.10,-13 59 12.84,12.3,B0Ve,,0
1101,BD-10 2073,Classical,07 29 58.91,-11 15 48.68,10.34,Be,,0
1102,ESO 559-16,Classical,07 31 48.91,-19 27 33.12,12.5,Be,,0
1103,HD 60220,Classical,07 32 20.08,-27 53 57.59,9.45,B9Vspe,,0
1104,CD-32 4140,Classical,07 33 00.27,-32 33 11.03,10.6,Be,,2
1105,HD 60260,Classical,07 33 11.24,-11 36 42.21,9.04,B5e,,2
1106,HD 60307,Classical,07 33 18.63,-13 07 05.81,8.74,B3e,220,1
1107,EM* MWC 846,Classical,07 33 19.93,-11 45 33.85,11.37,Be,,0
1108,SS73 7,Classical,07 33 21.41,-11 48 39.96,12.5,Be,,0
1109,HD 60669,Classical,07 33 50.88,-40 55 47.81,9.76,B8IIIe,,2
1110,z Pup,Classical,07 33 51.04,-36 20 18.21,5.41,B3Vne,273,5
1111,HD 60794,Classical,07 34 06.86,-46 38 37.69,8.73,B4IIIe,,3
1112,CD-22 4761,Classical,07 35 47.51,-22 52 38.92,10.21,Be,,0
1113,V763 Mon,Classical,07 35 57.80,-03 22 05.89,7.83,B5e,160,31
1114,V378 Pup,Classical,07 36 03.89,-14 29 33.98,5.656,B2.5Ve,240,198
1115,HD 61025,Classical,07 36 18.12,-24 36 35.31,7.89,B2Vne,,1
1116,BN Gem,Classical,07 37 05.73,16 54 15.30,6.921,O8Vpev,362,475
1117,V380 Pup,Classical,07 37 25.23,-33 30 26.93,9.64,B8e,,1
1118,HD 61355,Classical,07 37 28.73,-32 23 47.51,8.68,B4Ve,,2
1119,BD-10 2133,Classical,07 37 37.79,-10 58 20.44,10.39,Be,,1
1120,HD 61224,Classical,07 37 38.80,-14 26 26.75,6.526,B8.5IVe,250,98
1121,HD 61205,Classical,07 37 42.81,-12 45 33.54,9.51,A0IVe,,2
1122,CD-24 5721,Classical,07 39 06.15,-24 45 04.85,10.98,Be,200,0
1123,CD-28 4667,Classical,07 39 28.56,-29 09 58.11,9.98,Be,,0
1124,BD-11 2043,Classical,07 39 42.24,-12 15 33.38,9.59,Be,,1
1125,IRAS 07377-2523,Classical,07 39 48.50,-25 30 29.88,12.5,B8IVe,,0
1126,V468 Pup,Classical,07 39 57.99,-37 34 45.92,6.004,B6IVe,,0
1127,CD-23 6136,Classical,07 43 24.00,-24 01 48.00,11.53,Be,,0
1128,HD 62367,Classical,07 43 32.13,-04 40 50.38,7.13,B9e,,55
1129,HD 62532,Classical,07 43 45.34,-17 56 46.33,8.39,B3Vnne,,22
1130,HD 62533,Classical,07 43 47.06,-18 00 43.16,9.89,B3Vne,,1
1131,V387 Pup,Classical,07 43 47.91,-40 18 33.56,6.568,B2Vne,,1
1132,HD 62894,Classical,07 44 15.56,-43 01 04.19,9.6,B8e,,2
1133,HD 62654,Classical,07 44 21.00,-21 45 03.38,9.91,B8e,,0
1134,HD 62780,Classical,07 44 35.28,-26 56 42.09,9.2,B2Ve,,0
1135,HD 62729,Classical,07 44 52.76,-16 07 20.04,8.3,B3e,190,2
1136,CD-23 6121,Classical,07 45 08.40,-24 07 54.12,10.38,Be,,0
1137,HD 62959,Classical,07 45 11.44,-30 43 19.50,9.36,B1.5Vne,,1
1138,CD-29 4930,Classical,07 45 16.80,-29 52 12.00,10.55,B5e,,0
1139,CD-31 5034,Classical,07 45 54.91,-32 05 43.08,11.64,B3IIIne,,1
1140,HD 63150,Classical,07 45 55.14,-36 29 53.28,8.64,B0.5Vnne,260,1
1141,CD-29 4913,Classical,07 45 58.99,-29 33 16.15,11.1,O9Vpe,,0
1142,HD 63453,Classical,07 46 00.01,-56 11 36.63,9.16,B9Vne,,4
1143,V392 Pup,Classical,07 46 10.54,-37 56 01.21,5.87,B7Ve,,2
1144,CD-26 4955,Classical,07 46 36.20,-26 41 40.02,10.5,Oe,,0
1145,FF Cam,Classical,07 46 52.85,81 40 56.79,7.9,B9e,,3347
1146,CD-30 5079,Classical,07 46 53.59,-30 33 12.96,11.75,B2Ve,,1
1147,BD-20 2183,Classical,07 46 59.13,-21 09 41.53,9.98,Be,,0
1148,HD 63359,Classical,07 47 31.99,-26 40 54.88,9.16,B0Ve,,0
1149,HD 63423,Classical,07 47 35.40,-30 32 55.06,7.87,B1IIe,,2
1150,omi Pup,Classical,07 48 05.17,-25 56 13.81,4.5,B1IVnne,435,141
1151,CD-31 5144,Classical,07 49 07.20,-31 19 12.00,10.85,Be,,0
1152,HD 63988,Classical,07 49 52.22,-40 54 52.35,7.082,B8Ve,,2
1153,ALS 814,Classical,07 50 10.80,-28 31 48.00,11.62,B1Ve,,0
1154,HD 64831,Classical,07 52 22.27,-59 29 35.20,7.83,B8Vne,,4
1155,HD 64109,Classical,07 52 22.63,03 50 35.33,7.99,B8e,260,130
1156,V403 Pup,Classical,07 52 30.07,-21 59 59.10,9.1,B2.5Vnne,,1
1157,Cl* Haffner 18 LSS 12,Classical,07 52 42.79,-26 24 05.04,11.92,B1Ve,,0
1158,HD 64716,Classical,07 53 11.88,-45 13 07.47,8.44,B6Ve,,2
1159,HD 64639,Classical,07 53 51.91,-24 48 17.26,9.75,B9nne,,0
1160,V496 Pup,Classical,07 55 17.21,-32 27 24.84,11.86,Be,,0
1161,CD-29 5159,Classical,07 55 42.49,-29 33 53.58,10.71,B0Ve,,0
1162,CD-27 4743,Classical,07 55 49.90,-28 09 11.88,10.63,Be,,0
1163,HD 65663,Classical,07 56 15.77,-61 05 57.95,6.741,B8Ve,,3
1164,BT CMi,Classical,07 57 03.99,02 57 03.04,7.77,B2Vne,,84
1165,CD-28 5151,Classical,07 57 20.79,-28 37 58.28,11.4,B2Ve,,0
1166,CD-28 5154,Classical,07 57 24.91,-28 42 06.84,10.98,B1Vnpe,,0
1167,V373 Car,Classical,07 57 45.92,-60 49 34.39,8.98,Be,,4
1168,V374 Car,Classical,07 58 50.55,-60 49 28.06,5.81,B2IVnpe,200,5
1169,CD-32 4657,Classical,07 58 54.96,-32 33 27.69,9.53,Be,,2
1170,HD 65930,Classical,07 59 00.73,-48 22 34.72,6.842,B2IIIe,,4
1171,V408 Pup,Classical,07 59 05.20,-25 16 36.98,9.28,B2.5IIIe,,0
1172,CD-28 5235,Classical,07 59 22.16,-28 54 23.82,10.07,B1Ve,,0
1173,V695 Mon,Classical,08 00 44.13,-02 52 54.91,6.51,B2.5Ve,140,165
1174,5 Cnc,Classical,08 01 30.29,16 27 19.12,5.983,B9.5Vne,,632
1175,CD-29 5468,Classical,08 02 24.00,-29 37 12.00,,B5e,,0
1176,CD-31 5475,Classical,08 04 11.22,-31 24 21.74,9.73,B3Vpe,,0
1177,CD-30 5559,Classical,08 04 28.58,-30 58 21.25,10.44,Be,,0
1178,PHA 11,Classical,08 07 50.90,-36 03 55.08,14.61,B5e,,0
1179,[O92] 349,Classical,08 08 02.81,-31 35 45.96,12.83,B1IIIe,,0
1180,WRAY 15-162,Classical,08 08 03.91,-32 13 28.92,12.45,Bpe,,0
1181,V420 Pup,Classical,08 08 19.36,-23 37 04.04,6.53,B3IVe,90,101
1182,HD 67985,Classical,08 08 21.88,-47 09 28.72,8.89,B8Vne,,4
1183,HD 68423,Classical,08 08 24.64,-63 48 02.96,6.313,B6Ve,,2
1184,PQ Pup,Classical,08 08 37.64,-37 40 52.40,6.351,B4Ve,,5
1185,HD 67978,Classical,08 08 41.54,-42 03 22.88,8.75,B2Vnne,,2
1186,[O92] 358,Classical,08 08 54.50,-31 48 09.00,12.83,B2.5IVe,,0
1187,[O92] 359,Classical,08 08 55.99,-32 11 56.04,13.87,B2.5IVe,,0
1188,[O92] 372,Classical,08 10 18.60,-31 07 21.00,11.8,B2.5IIe,,0
1189,V426 Pup,Classical,08 11 54.82,-30 12 42.83,7.76,B2IIIe,,1
1190,HD 68468,Classical,08 12 00.39,-14 10 08.37,8.73,B3npshe,,50
1191,Cl* Ruprecht 55 DE 4,Classical,08 12 10.49,-32 30 28.30,13.47,B2Vne,,0
1192,Cl* Ruprecht 55 DE 32,Classical,08 12 12.60,-32 28 15.18,11.33,B0IIIe,,1
1193,HD 69026,Classical,08 12 20.93,-55 21 10.28,8.44,B1.5Ve,,2
1194,V572 Pup,Classical,08 12 28.84,-31 14 52.19,12.4,B0IVe,,0
1195,r Pup,Classical,08 13 29.52,-35 53 58.27,4.81,B1.5IIIe,145,29
1196,HD 69168,Classical,08 13 45.65,-46 34 43.27,6.478,B2Ve,,3
1197,CD-27 5181,Classical,08 14 03.70,-28 19 25.81,10.9,Be,,0
1198,CD-37 4480,Classical,08 14 16.80,-37 37 48.00,10.89,Be,,0
1199,CD-49 3441,Classical,08 14 20.46,-50 09 46.25,10.34,B8e,,3
1200,HD 69404,Classical,08 14 51.24,-46 29 09.21,6.43,B2Vnne,,3
1201,HD 69425,Classical,08 15 30.41,-37 07 02.98,9.1,B1Vpe,,1
1202,HD 69651,Classical,08 15 43.43,-48 20 39.19,10.16,B9Vne,,2
1203,HD 70064,Classical,08 18 02.82,-45 38 31.85,10.09,B5Ve,,2
1204,HD 70234,Classical,08 19 38.05,-31 49 24.51,8.83,B9IIIe,,1
1205,HD 70461,Classical,08 21 13.42,-26 19 59.28,8.99,B6Ve,266,0
1206,HD 70340,Classical,08 21 20.28,-01 36 07.33,6.5,A2Vnnpe,33,136
1207,CD-37 4605,Classical,08 22 05.20,-37 30 26.91,9.548,Be,,0
1208,HD 71042,Classical,08 23 22.90,-45 45 11.03,9.44,B2.5ne,,0
1209,HD 71072,Classical,08 25 00.40,-12 45 53.23,6.89,B4IIIe,,119
1210,CD-44 4392,Classical,08 25 17.84,-45 09 45.92,9.25,B2IVe,,2
1211,HD 71510,Classical,08 25 31.33,-51 43 38.70,5.159,B2Ve,158,4
1212,HD 71823,Classical,08 27 28.16,-47 43 43.61,8.82,B3Vne,,2
1213,NR Vel,Classical,08 27 50.48,-50 06 00.07,7.67,B2Ve,,3
1214,HD 72014,Classical,08 28 52.06,-42 35 14.91,6.577,B1.5Vnne,,7
1215,HD 72067,Classical,08 29 07.57,-44 09 37.49,5.81,B2Vne,,3
1216,HD 72126,Classical,08 29 20.68,-43 50 31.96,9.31,B2nne,,0
1217,HD 72063,Classical,08 29 37.72,-34 55 50.20,9.36,B2Vne,,0
1218,HD 72043,Classical,08 30 20.47,-10 36 58.45,8.83,B8e,,55
1219,NS Vel,Classical,08 31 05.93,-39 03 39.47,7.3,B6IIIe,,2
1220,HD 72551,Classical,08 32 08.70,-36 06 27.20,9.49,B4Ve,,0
1221,FY Vel,Classical,08 32 23.38,-49 36 04.77,6.9,B2IIpshe,,11
1222,V471 Car,Classical,08 36 52.70,-63 37 39.42,8.06,B5ne,,4
1223,CD-44 4636,Classical,08 36 52.80,-44 40 48.00,10.96,Be,,0
1224,HD 73903,Classical,08 38 58.88,-46 13 37.56,9.05,B3IIe,,2
1225,CD-45 4355,Classical,08 39 05.81,-46 14 43.08,9.47,B8e,,0
1226,CD-40 4488,Classical,08 39 31.68,-40 28 18.10,10.83,B6Ve,,0
1227,CD-45 4394,Classical,08 40 50.93,-46 05 45.40,10.27,B2Vne,,0
1228,HD 74401,Classical,08 42 00.38,-47 39 53.97,9.21,B1IIIne,,0
1229,HD 74559A,Classical,08 42 45.63,-48 05 12.76,10.3,B9Ve,,0
1230,HD 74559B,Classical,08 42 46.46,-48 05 25.53,10.3,B9Ve,,0
1231,HD 75485,Classical,08 42 56.65,-77 07 04.04,8.01,B9IIe,,5
1232,HD 74867,Classical,08 45 02.02,-41 30 58.26,8.71,B7IVe,,0
