#,Be star,Category,RA,DEC,V,Type,vsini,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,Tefftemp,Gflux,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,_4XMM,Flux1,e_Flux1,Flux2,e_Flux2,Flux3,e_Flux3,Flux4,e_Flux4,Flux5,e_Flux5,Flux8,e_Flux8,Flux9,e_Flux9,HR1,e_HR1,HR2,e_HR2,HR3,e_HR3,HR4,e_HR4,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,HRhm,HRhs,HRms,NHGal,_2SXPS,CR0,E_CR0,e_CR0,SwiftHR1,SwiftHR2,CR1,e_CR1,CR2,E_CR2,e_CR2,CR3,E_CR3,e_CR3,PcstS0,FPO0,FPU0,Gam1,E_Gam1,e_Gam1,ra,dec
31,EM* LkHA 201,Classical,00 43 25.34,61 38 23.39,14.3,B3Ve,,0.3741,-1.494,-1.399,0.076,6.59,13.006534,13.865889,12.074357,,1.7659938786776573e-14,9.322999954223633,0.013000000268220901,8.947999954223633,0.00800000037997961,8.083000183105469,0.023000000044703484,7.3520002365112305,0.10100000351667404,10.716,0.024,10.285,0.031,9.849,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.855583333333334,61.639830555555555
32,EM* LkHA 202,Classical,00 43 49.64,62 15 22.90,14.0,Be,,0.5211,-1.854,-0.746,0.056,4.84,12.257166,13.017784,11.378496,,3.5215705544934837e-14,9.029999732971191,0.009999999776482582,8.701000213623047,0.00800000037997961,7.885000228881836,0.019999999552965164,6.7789998054504395,0.07900000363588333,10.451,0.024,10.053,0.027,9.753,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.956833333333334,62.25636111111111
33,EM* CDS 78,Classical,00 44 12.91,64 27 43.92,11.422,B1Vpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.053791666666667,64.4622
34,EM* AS 4,Classical,00 44 42.19,63 54 28.02,10.58,B1IVpe,,0.2937,-1.889,0.025,0.116,20.3,10.295917,10.757946,9.644252,,2.1440553557334304e-13,7.809999942779541,0.014000000432133675,7.489999771118164,0.00800000037997961,6.89900016784668,0.014999999664723873,6.35099983215332,0.05700000002980232,8.8,0.02,8.519,0.028,8.165,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.175791666666667,63.907783333333334
35,omi Cas,Classical,00 44 43.52,48 17 03.71,4.477,B5IIIe,195.0,0.5116,17.415,-8.947,4.067,23900.0,4.34949,4.356681,4.295438,,5.1263327628438425e-11,4.067175919751763,0.0001729839734360413,3.2857935631106905,0.00041524769194614837,2.819999933242798,0.010999999940395355,1.9670000076293945,0.014000000432133675,4.653,0.268,4.612,0.208,4.404,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.181333333333333,48.28436388888889
36,RX J0045.6-7313,Classical,00 44 58.30,-73 13 45.84,,Be,,-0.7999,0.929,-2.629,1.935,0.973,20.427263,,,,1.8997549898200962e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.242916666666666,-73.2294
37,IPHAS J004517.05+640124.4,Classical,00 45 17.05,64 01 24.38,,B3V,,0.0878,-1.703,0.107,0.0,1.94e-15,15.470962,16.368193,14.516515,,1.8248114356039195e-15,11.871000289916992,0.010999999940395355,11.572999954223633,0.00800000037997961,10.991999626159668,0.15700000524520874,8.984000205993652,,13.368,0.022,12.957,0.033,12.575,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.321041666666666,64.02343888888889
38,IPHAS J004620.80+622503.9,Classical,00 46 20.80,62 25 03.90,,,,0.2798,-2.299,-0.599,0.0,0.0,13.44142,13.919851,12.777562,,1.1831363399361394e-14,10.996000289916992,0.017000000923871994,10.857999801635742,0.012000000104308128,10.062000274658203,0.07000000029802322,8.803999900817871,0.42399999499320984,11.981,0.025,11.718,0.03,11.434,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.586666666666666,62.41775
39,BD+34 113,Classical,00 46 34.44,34 49 43.65,9.9,B2IIIe,,1.7931,-4.534,-10.529,0.102,15.3,9.528073,10.140298,8.783978,4500.0,4.348841644586743e-13,6.9720001220703125,0.014999999664723873,7.142000198364258,0.00800000037997961,7.0289998054504395,0.01600000075995922,6.84499979019165,0.06700000166893005,7.812,0.024,7.25,0.023,7.102,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6435,34.82879166666667
40,IPHAS J004651.68+625914.7,Classical,00 46 51.68,62 59 14.71,,B7V,,0.2848,-1.067,-0.722,0.0,0.0,14.979452,15.463961,14.303639,,2.869604164155853e-15,12.762999534606934,0.014000000432133675,12.682999610900879,0.008999999612569809,11.545999526977539,0.18299999833106995,8.869000434875488,,13.323,0.026,13.102,0.036,12.847,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.715333333333334,62.98741944444444
