angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,_RAJ2000_Gaia,_DEJ2000_Gaia,source_id,parallax,pmra,pmdec,Gflux,Gmag,BPflux,BPmag,RPflux,RPmag,radial_velocity,teff_val,a_g_val,radius_val,lum_val
0.17042,85,Cl* NGC 330 ELS 046388,Classical,00 53 26.98,-72 25 41.40,16.47,B2IVe,330,0,13.36238376,-72.42821295,4689008250240840000,-0.0039,0.81,-1.11,5.22326E+03,16.39351,4.22506E+03,16.286806,2.40411E+03,16.309534,,9575,,,
0.222221,87,[MA93] 693,Classical,00 53 37.08,-72 18 50.60,15.86,B1IIIe,457,0,13.40442515,-72.31411294,4689057041109980000,-0.0193,0.613,-1.416,9.08117E+03,15.793012,7.28821E+03,15.694837,4.01354E+03,15.753102,,9319,,,
0.144615,88,2dFS 952,Classical,00 53 44.01,-72 24 56.30,15.06,B2IVe,188,0,13.43330645,-72.41567331,4689008628253210000,-0.0464,0.691,-1.304,1.79312E+04,15.054343,1.45369E+04,14.945207,7.40450E+03,15.088181,,8613.75,,,
0.177329,89,Cl* NGC 330 ELS 048289,Classical,00 53 50.65,-72 23 09.20,15.87,B2IVe,253,0,13.4609868,-72.38593526,4689008933244340000,-0.077,0.557,-1.172,1.00534E+04,15.682581,8.02653E+03,15.590069,4.43774E+03,15.644015,,9280,,,
0.179125,90,[MA93] 720,Classical,00 53 53.66,-72 22 01.40,15.75,B3IIIe,323,0,13.47351049,-72.36710015,4689009109289380000,-0.0348,0.272,-0.988,9.95044E+03,15.69376,8.61524E+03,15.51322,5.16910E+03,15.478383,,9084,,,
0.941573,90,[MA93] 720,Classical,00 53 53.66,-72 22 01.40,15.75,B3IIIe,323,0,13.47284953,-72.36719339,4689009109233860000,,,,7.54169E+02,18.494694,,,,,,,,,
0.224003,91,Cl* NGC 330 ELS 038007,Classical,00 53 54.17,-72 19 55.42,17.27,B3Ve,262,0,13.47560294,-72.33211448,4689010140081410000,0.1729,0.532,-1.524,2.34466E+03,17.263166,2.14646E+03,17.02208,1.26676E+03,17.005184,,,,,
0.160354,92,Cl* NGC 330 ELS 065055,Classical,00 53 55.34,-72 26 45.30,14.72,B1IIIe,420,0,13.48048432,-72.44594972,4689005432797630000,-0.0164,0.601,-1.335,2.49217E+04,14.696922,2.00682E+04,14.595115,1.14029E+04,14.619385,,9566,,,
0.137528,93,Cl* NGC 330 ELS 003315,Classical,00 53 58.25,-72 25 02.60,16.06,B2IIIe,302,0,13.49260946,-72.41741271,4689005707675450000,-0.0605,0.702,-1.344,7.08973E+03,16.06179,5.85094E+03,15.933324,2.94855E+03,16.087896,,8951.33,,,
0.151056,94,Cl* NGC 330 ELS 065746,Classical,00 54 01.89,-72 24 45.57,17.42,B1Ve,362,0,13.50775211,-72.41267787,4689005810699270000,2.1293,0.049,-3.421,2.07673E+03,17.394918,1.87870E+03,17.166744,1.23819E+03,17.029951,,,,,
