#,Be star,Category,V,SpecType,vsini,Nb of spectra in BeSS,_RAJ2000,_DEJ2000,_q,EDR3Name,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,RVDR2,GLON,GLAT,Tefftemp,Gflux,Name,Type,Pos,Opt,r_Opt,l_Vmag,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,E_B-V_,E_B-V_2,u_E_B-V_,r_Vmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,l_FX,FX,FXu,Range,r_FX,Porb,u_Porb,Ppulse,u_Ppulse,r_Porb,SpType,Name2,Name3,Name4,Simbad,_4XMM,Flux1,Flux2,Flux3,Flux4,Flux5,Flux8,Flux9,HR1_x,HR2_x,HR3,HR4,Cst,Fvar,e_Fvar,Vflag,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,HRhm,HRhs,HRms,VaKSb,VaKPb,VaGLb,Vib,_2SXPS,HR1_y,HR2_y,FPO0,FPU0,NH1H,Gamma,flags
1772,HD 151113,Classical,7.43,B2Ve,180,0,251.87641666666667,-45.460525,1772.0,Gaia EDR3 5940212243095913984,0.8301,0.145,-4.947,0.376,61.5,7.760997,7.374331,7.327464,,339.8969969498,-0.2098460828,,2.2141344737498746e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1773,HD 151083,Classical,9.07,B2Vne,,0,251.964125,-51.767775,1773.0,Gaia EDR3 5937028989511111680,0.5191,-0.777,-3.561,0.24,55.3,9.025541,8.991598,8.621181,,335.1101032251,-4.3227777161,,6.908541867744956e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1774,HD 151242,Classical,9.92,B5IIIe,,0,252.00704166666668,-40.35360555555555,1774.0,Gaia EDR3 5969879437637243136,0.6881,1.427,-1.91,0.102,11.4,9.797835,9.910863,9.55526,,343.8613973911,3.0130344753,,3.392101148121103e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1775,HD 151582,Classical,9.49,B3IIIe,,0,252.47608333333335,-38.54461944444444,1775.0,Gaia EDR3 5970896043559582336,1.018,-0.62,-3.033,0.243,65.3,9.333391,9.53607,8.963676,,345.4846907674,3.8951822721,,5.202910962656768e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1776,HD 328990,Classical,10.3,A0e,,0,252.60579166666668,-46.155322222222225,1776.0,Gaia EDR3 5940127894238886144,0.9544,0.599,-3.956,0.076,6.45,10.4024,10.673155,9.93497,,339.6916816245,-1.0459247828,,1.9437606857025692e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1777,SS73 65,Classical,,Be,,0,252.81458333333333,-37.3006,1777.0,Gaia EDR3 5971533966426033280,0.1316,-7.122,-0.809,0.0,0.0,20.436405,,,,346.6172005549,4.4813516055,,1.8838260315763524e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1778,HD 151743,Classical,9.53,B8IVe,,0,253.01404166666663,-53.829394444444446,1778.0,Gaia EDR3 5929990500159311872,0.9029,-0.427,-1.72,0.284,90.5,9.496513,9.560946,9.339817,,333.9196045294,-6.124829807,,4.4771082372329084e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1779,HD 152060,Classical,9.6,B2Ve,105,0,253.24987499999997,-41.407577777777774,1779.0,Gaia EDR3 5969535363543947904,0.5721,-0.559,-1.875,0.164,30.4,9.548818,9.567921,9.45644,,343.6501362306,1.616878336,,4.266537762713593e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1780,HD 152004,Classical,9.01,B3IVne,,0,253.27754166666665,-47.58159444444444,1780.0,Gaia EDR3 5939757977310898944,1.0286,-0.486,-0.595,0.076,5.9,8.927728,9.022753,8.695757,,338.8826785921,-2.3073530976,,7.559822416995505e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1781,HD 152358,Classical,9.39,Bpshe,,0,253.85425,-50.63654722222222,1781.0,Gaia EDR3 5936762181764566016,0.9398,1.017,-2.27,0.119,14.6,9.286775,9.373117,9.088984,,336.7404929313,-4.5216757712,,5.431162460441941e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1782,CD-39 10861,Classical,9.75,B3.5Ve,,0,253.87025,-39.43025,1782.0,Gaia EDR3 5970178131149719680,0.7605,1.134,-0.78,0.089,9.17,9.767265,9.89233,9.496541,,345.4844983438,2.4957133092,,3.488966454852314e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1783,HD 152523,Classical,9.77,B3Ve,,0,253.89725,-39.41379166666667,1783.0,Gaia EDR3 5970178543466579584,0.7641,0.868,-0.812,0.108,13.7,9.758407,9.855495,9.530993,,345.5104293064,2.4897672918,,3.5175476874522414e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1784,V846 Ara,Classical,6.33,B3Vnpe,295,2,254.03683333333336,-50.674791666666664,1784.0,Gaia EDR3 5936759471698278272,3.3089,-9.403,-9.592,0.257,58.2,6.206131,6.232929,6.085617,,336.7829240826,-4.6359828943,,9.271508352287591e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1785,HD 152505,Classical,8.85,B2.5Vne,,0,254.039875,-49.033258333333336,1785.0,Gaia EDR3 5938496661361142784,1.2376,0.837,-9.939,0.105,10.4,8.834022,8.898691,8.659673,,338.0708296624,-3.6139572402,,8.241267175973026e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1786,HD 152541,Classical,7.45,B7Ve,,2,254.0604166666667,-46.84941388888889,1786.0,Gaia EDR3 5939842429231631232,1.7937,1.811,-6.661,0.173,17.9,7.707174,7.743206,7.574684,,339.7870603207,-2.2604905835,,2.326661448512064e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1787,HD 322422,Classical,9.76,B1Ve,170,0,254.34975,-40.36108333333333,1787.0,Gaia EDR3 5969706436349935872,0.617,0.144,-0.75,0.095,11.1,9.612263,9.761283,9.28283,,344.9872347154,1.626908057,,4.024367136929301e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1788,V848 Ara,Classical,8.16,B2IVe,190,4,254.73670833333335,-46.128994444444444,1788.0,Gaia EDR3 5963177471893188352,1.0117,0.451,-2.501,0.317,65.3,8.09032,8.16975,7.873611,,340.6414136383,-2.1769446776,,1.6348382636279037e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1789,HD 153199,Classical,8.12,B2.5Ve,190,1,254.98720833333334,-43.22076944444444,1789.0,Gaia EDR3 5964662156184975488,0.9444,0.474,-3.965,0.151,18.0,8.074013,8.177066,7.83772,,343.0383258108,-0.519295496,,1.6595777128762092e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1790,HD 153295,Classical,9.05,B2e,,3,255.10520833333334,-42.31674722222222,1790.0,Gaia EDR3 5966213219190201856,0.6405,1.181,-1.47,0.109,12.9,8.707157,9.097729,8.094566,,343.8034017765,-0.0299403099,,9.26275109214854e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J170025.2-421900,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,"BeSS,Gaia,Chandra"
1791,HD 153222,Classical,8.91,B1IIe,,2,255.11954166666666,-49.25414166666667,1791.0,Gaia EDR3 5938453746047849344,0.8878,-0.966,-1.215,0.102,9.78,8.694675,8.878545,8.334906,,338.3349296688,-4.3054506821,,9.369853354283712e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1792,V828 Ara,Classical,6.263,B2IVne,,5,255.44745833333334,-58.95824722222222,1792.0,Gaia EDR3 5915146474672081024,1.5935,-2.391,-9.03,0.354,199.0,6.121645,6.081786,6.093274,,330.6623067029,-10.3346235414,,1.0021778363617405e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1793,HD 153262,Classical,7.61,B2Vnne,,3,255.47529166666666,-59.04758888888889,1793.0,Gaia EDR3 5915144447447423232,1.6868,-2.236,-9.68,0.234,50.3,7.537308,7.521345,7.491252,,330.5980347663,-10.3993607565,,2.7206933423652293e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1794,HD 153977,Classical,9.42,B5IIIe,,1,255.93133333333336,-24.835444444444445,1794.0,Gaia EDR3 4112342366003430784,0.8328,-4.7,-3.714,0.177,28.1,9.362592,9.385334,9.268405,,358.1864273779,10.0354281236,,5.064843072764111e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1795,HD 154188,Classical,10.12,B8IVne,,2,256.13354166666664,-16.541055555555555,1795.0,Gaia EDR3 4138825241728108288,1.3225,-2.783,7.813,0.103,12.4,9.955059,10.112796,9.653076,,5.2086790234,14.7063743177,,2.934804618716079e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1796,HD 153879,Classical,8.99,B1.5Vne,,3,256.1834583333333,-51.40832777777778,1796.0,Gaia EDR3 5924482698466496896,0.9136,-0.652,-1.237,0.123,13.3,8.841536,8.929029,8.606998,,337.0293524957,-6.1522786736,,8.184429157173465e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1797,HD 154040,Classical,10.07,B2Ve,,0,256.202875,-39.315758333333335,1797.0,Gaia EDR3 5967194846859679616,0.6889,-2.262,-2.752,0.108,15.6,10.037024,10.187424,9.729434,,346.6866100677,1.1463248387,,2.721405097182487e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1798,HD 154218,Classical,7.57,B3Vne,,3,256.42900000000003,-36.74052777777778,1798.0,Gaia EDR3 5976547528983832704,2.1471,1.971,-5.653,0.161,19.0,7.53068,7.559543,7.421823,,348.8469414994,2.5611168611,,2.737352922353054e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1799,HD 154243,Classical,8.05,B3Vnne,,0,256.47016666666667,-36.58818611111111,1799.0,Gaia EDR3 5976742937164771456,1.3954,0.988,-1.577,0.132,11.6,7.830971,7.980229,7.516076,,348.9885649772,2.6265769977,,2.0759380724677076e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1800,HD 154154,Classical,8.59,B2Vnne,290,2,256.529625,-48.41867222222222,1800.0,Gaia EDR3 5938727906738465280,0.9208,-0.475,-1.523,0.13,12.6,8.486919,8.582814,8.239363,,339.5657303332,-4.5367254709,,1.1345801833615697e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1801,HD 154170,Classical,9.61,B9IIIe,,2,256.54354166666667,-47.419625,1801.0,Gaia EDR3 5962847407942115584,1.2436,0.276,-5.439,0.105,9.53,9.583763,9.673367,9.380033,,340.372669009,-3.9446138354,,4.1314033172064536e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1802,HD 154111,Classical,8.26,B5IVe,,2,256.56275000000005,-52.4822,1802.0,Gaia EDR3 5924320456112152192,0.9771,-1.158,-1.92,0.231,36.6,8.147992,8.17918,8.023475,,336.3031161667,-6.9814989204,,1.5502651845972676e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1803,HD 154314,Classical,10.11,B9IIIe,,1,256.72791666666666,-44.733669444444445,1803.0,Gaia EDR3 5963573193020267136,0.9089,0.769,-0.592,0.189,42.1,10.045417,10.1009,9.908179,,342.6008084831,-2.4340671546,,2.7004490880829483e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1804,V956 Sco,Classical,7.9,Oe,,1,256.77149999999995,-35.75899444444445,1804.0,Gaia EDR3 5977175423186792192,0.9104,1.428,-2.289,0.079,4.4,7.60303,7.945165,7.037945,,349.7984091105,2.9305698161,,2.5608892311970364e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1805,HD 154538,Classical,8.62,B3Ve,,2,257.1315416666667,-49.46783055555556,1805.0,Gaia EDR3 5926578921730646144,1.4877,2.172,-7.288,0.133,15.1,8.583684,8.649498,8.408881,,338.9569083151,-5.4796386748,,1.0378371055918765e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1806,HD 154911,Classical,9.1,B0e,,0,257.527125,-38.624072222222225,1806.0,Gaia EDR3 5973134717919442304,0.6031,1.858,-2.608,0.088,11.1,8.864912,9.124948,8.401443,,347.8578351844,0.7375424605,,8.010101031572003e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1807,HD 155349,Classical,9.64,B2Ve,,0,258.09658333333334,-32.146677777777775,1807.0,Gaia EDR3 5979934750770356224,0.818,1.833,-1.868,0.082,4.95,9.482988,9.557474,9.298086,,353.3659966521,4.1867859359,,4.5332283268274215e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1808,HD 155352,Classical,8.45,B2Ve,,1,258.251625,-42.63344722222222,1808.0,Gaia EDR3 5965630413629720192,1.3284,-2.017,-3.276,0.73,317.0,8.281605,8.299098,8.044122,,344.9467411378,-2.0741222986,,1.3707580148265242e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1809,HD 155436,Classical,9.33,B2.5e,,1,258.43233333333336,-44.72922777777778,1809.0,Gaia EDR3 5953038016218157696,0.8947,-0.399,-3.354,0.192,34.9,8.879479,9.353603,8.20649,,343.3223598233,-3.4070903055,,7.903349613834925e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1810,EM* StHA 143,Classical,12.02,Be,,3,258.60575,31.5835,1810.0,Gaia EDR3 1333493685058234880,0.1557,-0.968,-11.358,0.214,91.5,11.698698,11.663163,11.750385,,54.4710471795,33.3843903781,,5.890112555307182e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1811,HD 155438,Classical,8.47,B6IVne,,2,258.6388333333333,-54.37014722222222,1811.0,Gaia EDR3 5923546812234450048,1.1248,-0.502,-3.632,0.161,25.3,8.39022,8.404959,8.296983,,335.4807108826,-9.0864086405,,1.240265873035752e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1812,V1075 Sco,Classical,5.612,O8Ve,211,24,258.83020833333336,-33.54841944444444,1812.0,Gaia EDR3 5979008205986483712,0.9543,1.67,-3.415,0.462,226.0,5.6681,5.634211,5.673813,,352.5858188815,2.8683063359,,1.5218182707707247e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J171519.2-333254,1.35792e-13,3.93196e-13,6.85774e-14,4.49348e-15,8.44353e-16,6.02871e-13,5.65453e-13,0.569894,-0.719255,-0.951039,-0.923834,0.153239,0.130238,0.066934,0.0,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia,XMM"
1813,HD 155851,Classical,8.18,B0Vne,335,0,258.89070833333335,-32.68973888888889,1813.0,Gaia EDR3 5979469034457347968,0.9259,2.003,-0.926,0.144,10.6,7.981353,8.103543,7.649856,,353.3154967065,3.325537024,,1.8074304469455839e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1814,V1076 Sco,Classical,6.9,B2.5Vnne,367,1,259.07325000000003,-42.33903333333333,1814.0,Gaia EDR3 5953731258290137984,2.472,-1.041,-4.022,0.285,69.0,6.608519,6.651516,6.253532,,345.5396788745,-2.3946964274,,6.400224292669495e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1815,HD 156008,Classical,9.56,B8IVe,,2,259.37783333333334,-47.739605555555556,1815.0,Gaia EDR3 5950641355751174528,1.0659,-0.212,-3.696,0.14,16.6,9.50631,9.553628,9.367644,,341.2374061972,-5.6809598057,,4.4368913498202506e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1816,HD 156172,Classical,8.24,O9IIe,,2,259.49875000000003,-42.06061944444444,1816.0,Gaia EDR3 5959700811818323456,0.8245,-1.932,-4.965,0.121,9.92,8.04417,8.256257,7.647984,,345.9493590022,-2.491296053,,1.7058262525347676e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1817,V1077 Sco,Classical,6.374,B5Vne,180,21,259.58545833333335,-32.553105555555554,1817.0,Gaia EDR3 5979488417699251200,2.6245,-1.638,-7.268,0.157,18.0,6.292141,6.381381,6.083895,,353.7654304494,2.9265310954,,8.565375243658244e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1818,HD 156409,Classical,8.72,B2IIne,,0,259.8201666666667,-39.806983333333335,1818.0,Gaia EDR3 5972406463282119808,0.8197,-1.575,-4.384,0.099,10.2,8.888071,9.065932,8.546746,,347.9346272493,-1.395303027,,7.841053081119045e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1819,V1078 Sco,Classical,7.89,B1Ve,,2,259.850625,-38.00368888888889,1819.0,Gaia EDR3 5972836200519598336,1.3144,2.067,-2.204,0.153,12.5,7.697419,7.814576,7.419595,,349.4257032959,-0.3805217565,,2.347659964748763e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1820,HD 156398,Classical,6.659,B9.5V+...,,2,259.852625,-44.22302777777778,1820.0,Gaia EDR3 5953285848666591232,2.2038,1.857,-12.936,1.934,3170.0,6.601655,6.70222,6.349916,,344.3227808489,-3.9423318022,,6.440814537603015e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1821,HD 156831,Classical,8.87,B3Vnne,,25,260.17745833333333,-24.271291666666666,1821.0,Gaia EDR3 4111109302426521088,1.4843,3.707,0.387,0.115,11.0,8.608505,8.796115,8.238956,,0.9050614473,7.2052129199,,1.014380270985872e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1822,HD 156702,Classical,8.72,B1Ve,265,0,260.210875,-38.652425,1822.0,Gaia EDR3 5972570698501379968,0.8892,0.853,-1.577,0.103,9.92,8.637869,8.743942,8.375765,,349.0551138781,-0.9833660893,,9.873137694348834e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1823,HD 323154,Classical,9.27,Oe,,0,260.7597916666667,-39.06462777777778,1823.0,Gaia EDR3 5972497860181982720,0.635,0.875,-1.404,0.127,10.7,8.671504,9.43944,7.782694,,348.9584520015,-1.5692529063,,9.571967026440165e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1824,HD 157127,Classical,9.19,B3Vnne,,0,260.804375,-38.548919444444444,1824.0,Gaia EDR3 5972586920630034560,1.1261,0.33,-0.345,0.202,34.9,9.148886,9.272172,8.881856,,349.4036641266,-1.306467485,,6.166637135097486e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1825,HD 157099,Classical,8.83,B3Vne,,1,260.80654166666665,-42.829225,1825.0,Gaia EDR3 5959419822178542336,1.1884,-0.346,-4.746,0.101,9.9,8.774328,8.8532,8.57505,,345.8665522788,-3.7222129981,,8.70706113693563e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1826,iot Ara,Classical,5.245,B2IIIne,340,9,260.817,-47.46819722222222,1826.0,Gaia EDR3 5950328750846409856,3.5613,-6.209,-17.699,0.665,450.0,5.205132,5.150645,5.255575,,342.0136364758,-6.3284053052,,2.3310414380754478e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1827,gam Ara,Classical,3.312,B1IIe,302,54,261.34858333333335,-56.377725,1827.0,Gaia EDR3 5922299347569528832,3.9387,-3.583,-12.641,2.013,6390.0,3.304689,3.302995,3.372585,,334.6446451455,-11.4785909205,,1.3419217557071448e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J172523.7-562239,1.06912e-13,3.53864e-13,1.52862e-13,4.06173e-14,5.15277e-15,6.59326e-13,7.38591e-13,0.613503,-0.41348,-0.815782,-0.91477,0.055612,0.153974,0.053661,0.0,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia,XMM"
1828,HD 157273,Classical,8.95,B8.5Vne,,3,261.6590833333333,-63.815,1828.0,Gaia EDR3 5910150843581383808,1.505,-3.102,-10.773,0.136,27.5,8.753261,8.969101,8.329221,,328.2044364245,-15.4957005776,,8.877657662540133e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1829,V750 Ara,Classical,6.652,B2Vne,310,44,261.978375,-47.02622222222222,1829.0,Gaia EDR3 5951798797906183936,0.9867,-0.938,-1.625,0.283,68.1,6.563528,6.588638,6.436725,,342.8228043741,-6.7415861329,,6.671010034000924e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J172754.7-470133,2.81285e-14,1.61278e-13,4.64879e-13,9.15021e-13,2.44589e-12,4.0038e-12,1.31706e-12,0.706839,0.445018,-0.180608,-0.194018,0.0,0.198447,0.019313,1.0,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia,XMM"
1830,HD 158319,Classical,8.87,B8Vne,,30,262.3267916666667,-16.590825,1830.0,Gaia EDR3 4124585363602432128,1.0866,-0.255,0.197,0.116,15.9,8.822988,8.867963,8.67078,,8.517144512,9.7274199869,,8.325447641371432e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1831,V862 Ara,Classical,5.987,B7IIIe,,4,262.847,-56.92096388888889,1831.0,Gaia EDR3 5919349323502758144,2.3291,-0.565,-3.945,0.365,231.0,5.915405,5.88107,5.922357,,334.6149258021,-12.4648876864,,1.2118274725645323e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1832,51 Oph,Classical or Herbig,4.81,A0Ve,,113,262.8539583333333,-23.962641666666666,1832.0,Gaia EDR3 4110602530665608064,7.9538,0.86,-25.627,0.665,324.0,4.746484,4.776355,4.687373,,2.5202678538,5.3383430643,,3.5563884725723115e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
