angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,_RAJ2000,_DEJ2000,Source,4XMM,RA_ICRS,DE_ICRS,srcML,Flux8,e_Flux8,HR1,HR2,HR3,HR4,ext,V,S,Nd,xcatDBdet,xcatDB,IRAP
0.229547,1896,Cl* NGC 6530 ZCW 228,Classical,18 04 32.93,-24 18 44.57,10.49,B2.5Vne,,0,271.13716306,-24.31233194,200088201010259,J180432.9-241844,271.137163,-24.312332,727.964,5.21636E-14,4.28726E-15,0.884458,0.196226,-0.526081,-0.727589,0.0,0,0,4,xcatDBdet,xcatDB,IRAP
1.451560,1900,HD 164947,Classical,18 04 41.69,-24 20 53.88,8.87,B2Vne,120,3,271.17339194,-24.34858194,200088201010688,J180441.6-242054,271.173392,-24.348582,11.4331,1.28082E-14,4.559E-15,0.737519,0.073369,-0.524472,-0.363056,0.0,0,0,3,xcatDBdet,xcatDB,IRAP
1.185461,1903,Cl* NGC 6530 ZCW 254,Classical,18 04 50.61,-24 25 42.08,11.97,B4Ve,,0,271.21122111,-24.42845111,200088201010339,J180450.6-242542,271.211221,-24.428451,383.882,7.93996E-14,1.35555E-14,0.982428,0.620039,-0.298338,-0.439758,6.02307,0,0,4,xcatDBdet,xcatDB,IRAP
0.114962,1908,HD 165783,Classical,18 08 27.09,-19 52 07.96,8.33,B4IIe,,4,272.11290694,-19.86886694,201528330010023,J180827.0-195207,272.112907,-19.868867,13.3293,8.76924E-15,3.55367E-15,0.767095,-0.758625,0.157437,-0.593464,0.0,0,0,2,xcatDBdet,xcatDB,IRAP
1.107811,1930,BD-13 4928,Classical,18 18 42.79,-13 46 50.41,10.044,O9.5Vne,,0,274.678345,-13.78036611,206051301010163,J181842.8-134649,274.678345,-13.780366,17.2589,4.92038E-15,3.84621E-15,0.874348,-1.0,,,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
1.166649,2059,HD 190864,Classical,20 05 39.80,35 36 27.99,7.79,O7IIIe,100,175,301.41622111,35.6077,205562603010007,J200539.8+353627,301.416221,35.6077,3343.06,9.95703E-14,4.82079E-15,0.696448,-0.521602,-0.939354,-0.927996,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
0.752128,2073,HD 228438,Classical,20 13 50.28,36 37 22.53,8.37,B0.5IIIe,,50,303.45925306,36.62285889,207206001010050,J201350.2+363722,303.459253,36.622859,31.5325,5.71055E-15,3.07127E-15,0.907571,-0.358487,-0.879239,0.976427,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
1.754682,2075,HD 228535,Classical,20 14 55.34,36 51 12.83,10.43,B2IVe,,4,303.73091111,36.85315306,207206001010125,J201455.4+365111,303.730911,36.853153,9.49564,1.15175E-14,9.17389E-15,0.52118,0.570586,-0.272162,0.260531,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
0.970073,2101,V2246 Cyg,Classical,20 32 15.19,37 38 15.00,19.7,B0Ve,,0,308.06363111,37.63751889,207452402010001,J203215.2+373815,308.063631,37.637519,3239720.0,2.60068E-10,4.72574E-13,0.2514,0.918986,0.672257,-0.13059,0.0,1,1,1,xcatDBdet,xcatDB,IRAP
1.080056,2106,W Del,Classical,20 37 40.09,18 17 03.78,9.81,A0Ve,30,2,309.41722194,18.28413694,207425006010010,J203740.1+181702,309.417222,18.284137,80.2868,1.64799E-14,5.94437E-15,0.920217,-0.218651,-0.944014,0.123709,0.0,0,1,1,xcatDBdet,xcatDB,IRAP
0.585204,2123,HD 198931,Classical,20 52 09.72,44 26 04.61,8.81,B1Vnne,,24,313.04068389,44.43451806,206795802010021,J205209.7+442604,313.040684,44.434518,567.803,5.9777E-14,9.06739E-15,0.786986,0.381571,-0.613689,-0.403651,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
0.595755,2152,ALFIRK,Classical,21 28 39.60,70 33 38.57,3.216,B2IIIev,20,8073,322.16475,70.56085694,203004902010001,J212839.5+703339,322.16475,70.560857,142989.0,1.17748E-12,3.85978E-15,0.436732,-0.688414,-0.916904,-0.976378,0.0,0,1,4,xcatDBdet,xcatDB,IRAP
0.309838,2185,BD+53 2790,Classical,22 07 56.24,54 31 06.40,9.93,O9.5IIIe,,32,331.98418889,54.518425,206506401010001,J220756.2+543106,331.984189,54.518425,1.18936E7,2.66929E-10,2.59702E-13,0.69643,0.69532,0.261124,-0.174095,0.0,1,3,1,xcatDBdet,xcatDB,IRAP
0.097961,2198,pi Aqr,Classical,22 25 16.62,01 22 38.63,4.794,B1Ve,230,4125,336.31927694,1.37740111,207203907010001,J222516.6+012238,336.319277,1.377401,731756.0,1.19652E-11,4.72094E-14,0.710172,0.475989,-0.111483,-0.393044,0.0,1,1,1,xcatDBdet,xcatDB,IRAP
1.856739,2225,BD+61 2355,Classical,22 52 29.19,62 41 09.81,9.63,B7IVe,,1,343.12074111,62.68637694,207439803010045,J225228.9+624110,343.120741,62.686377,64.0161,3.53992E-14,2.38373E-14,0.97806,0.18213,-0.805202,-0.023129,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
